"admission_date","release_date","race","ethnicity","admission_status","charge","severity","bail_eligible"
2020-11-12,NA,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-10,2019-01-11,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-06,2019-03-20,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-21,2019-09-27,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-19,2019-01-29,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-23,2019-05-01,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-27,2019-10-16,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-25,2019-05-02,"Black","Unknown","Other","VTL 0511","Non-Felony","Non-Eligible"
2019-03-20,2019-03-23,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-03,2019-09-06,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-20,2019-08-03,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-23,2020-01-14,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-12-24,NA,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-11,2019-10-11,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-09-03,NA,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-08,2019-03-11,"Other","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-07-26,2019-07-28,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-03,2019-06-11,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-12-08,2019-12-17,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-06,2019-09-11,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-10-10,2020-10-22,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-02-25,2020-02-27,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-08-22,2020-11-17,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
